 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  116.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
  616.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 1116.2196   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 1616.2196   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 2116.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 2616.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 3116.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 3616.2195   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 4116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 4616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 5116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 5616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 6116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 6616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 7116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 7616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 8116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 8616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 9116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
 9616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
10116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
10616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
11116.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
11616.2197   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
12000.0000   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
   -1.0000   14.0000   12.3823   12.2181  -10.0000   -4.2856    3.4061   12.2181  1.0000E-10      5.1195  2.0000E+08
