 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    4.5724    2.0000   38.4110   38.3876    5.7015    2.2802    4.0485   13.3739  1.0000E-10     -0.2798  1.5610E+00
    4.5725    2.0000   38.4110   38.3856    5.7012    2.3213    4.0279   13.3802  1.0000E-10     -0.2798  1.3065E+00
    4.5727    2.0000   38.4110   38.3834    5.7009    2.3624    4.0073   13.3865  1.0000E-10     -0.2798  1.0926E+00
    4.5728    2.0000   38.4110   38.3811    5.7005    2.4034    3.9867   13.3928  1.0000E-10     -0.2798  9.1312E-01
    4.5730    2.0000   38.4110   38.3786    5.7002    2.4445    3.9661   13.3991  1.0000E-10     -0.2798  7.6258E-01
    4.5731    2.0000   38.4110   38.3759    5.6999    2.4855    3.9455   13.4054  1.0000E-10     -0.2798  6.3643E-01
    4.5732    2.0000   38.4110   38.3731    5.6995    2.5266    3.9249   13.4117  1.0000E-10     -0.2798  5.3080E-01
    4.5734    2.0000   38.4110   38.3699    5.6992    2.5677    3.9042   13.4180  1.0000E-10     -0.2798  4.4241E-01
    4.5735    2.0000   38.4110   38.3666    5.6989    2.6087    3.8836   13.4243  1.0000E-10     -0.2798  3.6850E-01
    4.5737    2.0000   38.4110   38.3629    5.6985    2.6498    3.8630   13.4306  1.0000E-10     -0.2798  3.0673E-01
    4.5738    2.0000   38.4110   38.3590    5.6982    2.6909    3.8424   13.4369  1.0000E-10     -0.2798  2.5514E-01
    4.5739    2.0000   38.4110   38.3548    5.6979    2.7320    3.8218   13.4432  1.0000E-10     -0.2798  2.1207E-01
    4.5741    2.0000   38.4110   38.3502    5.6976    2.7730    3.8011   13.4495  1.0000E-10     -0.2798  1.7615E-01
    4.5742    2.0000   38.4110   38.3453    5.6972    2.8141    3.7805   13.4558  1.0000E-10     -0.2798  1.4620E-01
    4.5744    2.0000   38.4110   38.3400    5.6969    2.8552    3.7599   13.4621  1.0000E-10     -0.2798  1.2124E-01
    4.5745    2.0000   38.4110   38.3342    5.6966    2.8963    3.7393   13.4684  1.0000E-10     -0.2798  1.0045E-01
    4.5746    2.0000   38.4110   38.3280    5.6962    2.9373    3.7187   13.4747  1.0000E-10     -0.2798  8.3151E-02
    4.5748    2.0000   38.4110   38.3214    5.6959    2.9784    3.6980   13.4810  1.0000E-10     -0.2798  6.8762E-02
    4.5749    2.0000   38.4110   38.3142    5.6956    3.0195    3.6774   13.4873  1.0000E-10     -0.2798  5.6801E-02
    4.5751    2.0000   38.4110   38.3064    5.6953    3.0606    3.6568   13.4936  1.0000E-10     -0.2798  4.6867E-02
    4.5752    2.0000   38.4110   38.2981    5.6949    3.1017    3.6362   13.4999  1.0000E-10     -0.2798  3.8621E-02
    4.5753    2.0000   38.4110   38.2891    5.6946    3.1428    3.6155   13.5062  4.4804E-07     -0.2798  3.1777E-02
    4.5755    2.0000   38.4110   38.2793    5.6943    3.1839    3.5949   13.5125  1.0114E-02     -0.2798  2.4223E-02
    4.5756    2.0000   38.4110   38.2689    5.6939    3.2249    3.5743   13.5188  2.5439E-01     -0.2798  1.3864E-02
    4.5756    4.0000   38.4110   38.2683    5.6939    3.2271    3.5732   13.5192  1.7574E+01     -0.2798  3.7977E-03
